State ID,State,Year,Sector ID,Sector,Investment
1,Aguascalientes,1999,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.047819972038269
1,Aguascalientes,1999,23,Building,0.002578000072389841
1,Aguascalientes,1999,31-33,Manufacturing Industries,796.8630638122559
1,Aguascalientes,1999,43,To the Wholesale Trade,0.4852519929409027
1,Aguascalientes,1999,46,Retail Trade,2.226475954055786
1,Aguascalientes,1999,48-49,Transportation and Storage,11.964288711547852
1,Aguascalientes,1999,51,Mass Media Information,2.1027040481567383
1,Aguascalientes,1999,52,Financial and Insurance Services,0.36908701062202454
1,Aguascalientes,1999,53,Real Estate and Rental Services of Furniture and Intangible Assets,2.5807158946990967
1,Aguascalientes,1999,54,"Services Professionals, Scientists and Technicals",0.07598099857568741
1,Aguascalientes,1999,56,Support Services to Business and Waste Management and Waste and Remediation Services,1.345173954963684
1,Aguascalientes,2000,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.6250269412994385
1,Aguascalientes,2000,31-33,Manufacturing Industries,259.87172412872314
1,Aguascalientes,2000,43,To the Wholesale Trade,2.14359188079834
1,Aguascalientes,2000,46,Retail Trade,19.021852493286133
1,Aguascalientes,2000,48-49,Transportation and Storage,0.01827000081539154
1,Aguascalientes,2000,51,Mass Media Information,-20.090450286865234
1,Aguascalientes,2000,52,Financial and Insurance Services,18.599607467651367
1,Aguascalientes,2000,53,Real Estate and Rental Services of Furniture and Intangible Assets,4.183045864105225
1,Aguascalientes,2000,54,"Services Professionals, Scientists and Technicals",0.10387100279331207
1,Aguascalientes,2000,56,Support Services to Business and Waste Management and Waste and Remediation Services,1.0082659721374512
1,Aguascalientes,2000,72,Temporary Accommodation and Food Preparation and Drinks,0.27591198682785034
1,Aguascalientes,2001,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",5.87863302230835
1,Aguascalientes,2001,23,Building,0.1564439982175827
1,Aguascalientes,2001,31-33,Manufacturing Industries,138.75695276260376
1,Aguascalientes,2001,43,To the Wholesale Trade,0.8629329800605774
1,Aguascalientes,2001,46,Retail Trade,18.201278686523438
1,Aguascalientes,2001,48-49,Transportation and Storage,-0.47077199816703796
1,Aguascalientes,2001,51,Mass Media Information,17.994279861450195
1,Aguascalientes,2001,52,Financial and Insurance Services,71.92303466796875
1,Aguascalientes,2001,53,Real Estate and Rental Services of Furniture and Intangible Assets,3.575819969177246
1,Aguascalientes,2001,54,"Services Professionals, Scientists and Technicals",0.10435999929904938
1,Aguascalientes,2001,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.1719519942998886
1,Aguascalientes,2001,72,Temporary Accommodation and Food Preparation and Drinks,-0.6111239790916443
1,Aguascalientes,2001,81,Other Services except Government Activities,-1.6822589635849
1,Aguascalientes,2002,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",6.56981086730957
1,Aguascalientes,2002,23,Building,0.005506000015884638
1,Aguascalientes,2002,31-33,Manufacturing Industries,15.508863925933838
1,Aguascalientes,2002,43,To the Wholesale Trade,0.9263110160827637
1,Aguascalientes,2002,46,Retail Trade,6.016287803649902
1,Aguascalientes,2002,48-49,Transportation and Storage,4.631601080298424
1,Aguascalientes,2002,51,Mass Media Information,36.59138870239258
1,Aguascalientes,2002,52,Financial and Insurance Services,41.70062255859375
1,Aguascalientes,2002,53,Real Estate and Rental Services of Furniture and Intangible Assets,5.477582931518555
1,Aguascalientes,2002,54,"Services Professionals, Scientists and Technicals",-1.6672710180282593
1,Aguascalientes,2002,56,Support Services to Business and Waste Management and Waste and Remediation Services,-0.011889000423252583
1,Aguascalientes,2002,72,Temporary Accommodation and Food Preparation and Drinks,0.24055300652980804
1,Aguascalientes,2003,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",9.35884952545166
1,Aguascalientes,2003,23,Building,0.0010770000517368317
1,Aguascalientes,2003,31-33,Manufacturing Industries,66.47787189483643
1,Aguascalientes,2003,43,To the Wholesale Trade,1.15619695186615
1,Aguascalientes,2003,46,Retail Trade,7.969698905944824
1,Aguascalientes,2003,48-49,Transportation and Storage,-0.5104089919477701
1,Aguascalientes,2003,51,Mass Media Information,24.483388900756836
1,Aguascalientes,2003,52,Financial and Insurance Services,6.165465354919434
1,Aguascalientes,2003,53,Real Estate and Rental Services of Furniture and Intangible Assets,3.783889055252075
1,Aguascalientes,2003,54,"Services Professionals, Scientists and Technicals",0.34109899401664734
1,Aguascalientes,2003,56,Support Services to Business and Waste Management and Waste and Remediation Services,-0.7448310256004333
