State ID,State,Year,Subsector ID,Subsector,Investment
1,Aguascalientes,1999,221,"Generation, Transmission and Distribution of Electric Energy",1.047819972038269
1,Aguascalientes,1999,312,Beverage Industry and the Snuff,0.5943719744682312
1,Aguascalientes,1999,314,"Manufacture of Textiles, except Apparel",1.1052500009536743
1,Aguascalientes,1999,315,Manufacture of Clothing,21.249513626098633
1,Aguascalientes,1999,325,Chemical Industry,0.25123798847198486
1,Aguascalientes,1999,326,Industry Plastic and Rubber,17.144521713256836
1,Aguascalientes,1999,327,Product Manufacturing Nonmetallic Minerals,3.798877000808716
1,Aguascalientes,1999,331,Basic Metal Industries,-5.941184043884277
1,Aguascalientes,1999,332,Fabricated Metal Products,0.8754069805145264
1,Aguascalientes,1999,333,Manufacture of Machinery and Equipment,2.441167116165161
1,Aguascalientes,1999,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",25.05343246459961
1,Aguascalientes,1999,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.2905850112438202
1,Aguascalientes,1999,336,Manufacture of Transport Equipment,714.8487548828125
1,Aguascalientes,1999,339,Other Manufacturing,0.07916100323200226
1,Aguascalientes,1999,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",-0.027549000456929207
1,Aguascalientes,1999,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",0.07242599874734879
1,Aguascalientes,1999,462,The Retail Trade in Supermarkets and Department Stores,2.226475954055786
1,Aguascalientes,1999,488,Services Related to Transportation,10.983373641967773
1,Aguascalientes,1999,517,Telecommunications,0.9035419821739197
1,Aguascalientes,1999,522,Intermediary Institutions Credit and Financial Off-Exchange,0.06147899851202965
1,Aguascalientes,1999,523,"Trading Activities, Exchange Rate and Financial Investment",0.1274529993534088
1,Aguascalientes,1999,524,"Surety Companies, Insurance and Pensions",0.18015499413013458
1,Aguascalientes,1999,531,Real Estate Services,2.5807158946990967
