Year,State ID,State,Chapter ID,Chapter,Trade Value
2006,1,Aguascalientes,1,Animal Products,4129430
2006,1,Aguascalientes,2,Vegetable Products,5802595
2006,1,Aguascalientes,4,Foodstuffs,5355297
2006,1,Aguascalientes,5,Mineral Products,3788051
2006,1,Aguascalientes,6,Chemical Products,11898986
2006,1,Aguascalientes,7,Plastics and Rubbers,137942472
2006,1,Aguascalientes,8,Animal Hides,765094
2006,1,Aguascalientes,9,Wood Products,1152
2006,1,Aguascalientes,10,Paper Goods,5864101
2006,1,Aguascalientes,11,Textiles,332333430
2006,1,Aguascalientes,12,Footwear and Headwear,115741
2006,1,Aguascalientes,13,Stone and Glass,14470667
2006,1,Aguascalientes,14,Precious Metals,11232
2006,1,Aguascalientes,15,Metals,268165003
2006,1,Aguascalientes,16,Machines,532895675
2006,1,Aguascalientes,17,Transportation,208816205
2006,1,Aguascalientes,18,Instruments,113634684
2006,1,Aguascalientes,20,Miscellaneous,29847274
2006,2,Baja California,1,Animal Products,161938244
2006,2,Baja California,2,Vegetable Products,556008579
2006,2,Baja California,3,Animal and Vegetable Bi-Products,13070485
2006,2,Baja California,4,Foodstuffs,217605055
2006,2,Baja California,5,Mineral Products,74006579
2006,2,Baja California,6,Chemical Products,426674617
2006,2,Baja California,7,Plastics and Rubbers,2280699826
2006,2,Baja California,8,Animal Hides,71911362
2006,2,Baja California,9,Wood Products,275280395
2006,2,Baja California,10,Paper Goods,623300080
2006,2,Baja California,11,Textiles,822477404
2006,2,Baja California,12,Footwear and Headwear,13675918
2006,2,Baja California,13,Stone and Glass,598349516
2006,2,Baja California,14,Precious Metals,31106201
2006,2,Baja California,15,Metals,2865031572
2006,2,Baja California,16,Machines,14288726147
2006,2,Baja California,17,Transportation,679215481
2006,2,Baja California,18,Instruments,4369669593
2006,2,Baja California,19,Weapons,2311
2006,2,Baja California,20,Miscellaneous,1206489571
2006,2,Baja California,21,Arts and Antiques,286398
2006,3,Baja California Sur,1,Animal Products,5898633
2006,3,Baja California Sur,2,Vegetable Products,127891058
2006,3,Baja California Sur,3,Animal and Vegetable Bi-Products,225924
2006,3,Baja California Sur,4,Foodstuffs,8717031
2006,3,Baja California Sur,5,Mineral Products,570330
2006,3,Baja California Sur,6,Chemical Products,2299712
2006,3,Baja California Sur,7,Plastics and Rubbers,7850300
2006,3,Baja California Sur,8,Animal Hides,492074
2006,3,Baja California Sur,9,Wood Products,1314420
2006,3,Baja California Sur,10,Paper Goods,7351636
2006,3,Baja California Sur,11,Textiles,5264189
2006,3,Baja California Sur,12,Footwear and Headwear,448866
2006,3,Baja California Sur,13,Stone and Glass,586636
2006,3,Baja California Sur,14,Precious Metals,828198
2006,3,Baja California Sur,15,Metals,2573772
2006,3,Baja California Sur,16,Machines,15211978
2006,3,Baja California Sur,17,Transportation,9274773
2006,3,Baja California Sur,18,Instruments,2543112
2006,3,Baja California Sur,20,Miscellaneous,5146442
2006,4,Campeche,5,Mineral Products,453288
2006,4,Campeche,6,Chemical Products,1351753
2006,4,Campeche,7,Plastics and Rubbers,6190553
2006,4,Campeche,8,Animal Hides,9509
2006,4,Campeche,9,Wood Products,946
2006,4,Campeche,10,Paper Goods,2006609
2006,4,Campeche,11,Textiles,223734704
2006,4,Campeche,12,Footwear and Headwear,3286
2006,4,Campeche,13,Stone and Glass,196622
2006,4,Campeche,15,Metals,13556522
2006,4,Campeche,16,Machines,28860697
2006,4,Campeche,17,Transportation,59022
2006,4,Campeche,18,Instruments,1936966
2006,4,Campeche,20,Miscellaneous,559878
2006,5,Coahuila de Zaragoza,1,Animal Products,45556841
2006,5,Coahuila de Zaragoza,2,Vegetable Products,23081440
2006,5,Coahuila de Zaragoza,3,Animal and Vegetable Bi-Products,3129362
2006,5,Coahuila de Zaragoza,4,Foodstuffs,7033846
2006,5,Coahuila de Zaragoza,5,Mineral Products,104997419
2006,5,Coahuila de Zaragoza,6,Chemical Products,110233124
2006,5,Coahuila de Zaragoza,7,Plastics and Rubbers,946832142
2006,5,Coahuila de Zaragoza,8,Animal Hides,271782760
2006,5,Coahuila de Zaragoza,9,Wood Products,6466708
2006,5,Coahuila de Zaragoza,10,Paper Goods,123628810
2006,5,Coahuila de Zaragoza,11,Textiles,1751944161
2006,5,Coahuila de Zaragoza,12,Footwear and Headwear,103852
2006,5,Coahuila de Zaragoza,13,Stone and Glass,139358584
2006,5,Coahuila de Zaragoza,14,Precious Metals,221976
2006,5,Coahuila de Zaragoza,15,Metals,1162591863
2006,5,Coahuila de Zaragoza,16,Machines,3747195934
2006,5,Coahuila de Zaragoza,17,Transportation,1666413900
2006,5,Coahuila de Zaragoza,18,Instruments,119772350
2006,5,Coahuila de Zaragoza,20,Miscellaneous,1553696892
2006,5,Coahuila de Zaragoza,21,Arts and Antiques,22160
2006,6,Colima,2,Vegetable Products,12327101
2006,6,Colima,4,Foodstuffs,734674
2006,6,Colima,6,Chemical Products,1204140
2006,6,Colima,7,Plastics and Rubbers,352714
2006,6,Colima,10,Paper Goods,252807
2006,6,Colima,15,Metals,131945
2006,6,Colima,16,Machines,1629137
2006,6,Colima,17,Transportation,3127
2006,6,Colima,18,Instruments,1455
2006,7,Chiapas,1,Animal Products,604026
2006,7,Chiapas,2,Vegetable Products,95642514
2006,7,Chiapas,4,Foodstuffs,960860
2006,7,Chiapas,7,Plastics and Rubbers,183307
2006,7,Chiapas,10,Paper Goods,1045538
2006,7,Chiapas,11,Textiles,196921
2006,7,Chiapas,15,Metals,16251
2006,7,Chiapas,16,Machines,263779
2006,7,Chiapas,20,Miscellaneous,1271
2006,8,Chihuahua,1,Animal Products,244075948
2006,8,Chihuahua,2,Vegetable Products,259471681
2006,8,Chihuahua,3,Animal and Vegetable Bi-Products,4179038
2006,8,Chihuahua,4,Foodstuffs,233500414
2006,8,Chihuahua,5,Mineral Products,34840111
2006,8,Chihuahua,6,Chemical Products,335836805
2006,8,Chihuahua,7,Plastics and Rubbers,3677217678
2006,8,Chihuahua,8,Animal Hides,309984502
2006,8,Chihuahua,9,Wood Products,69996593
2006,8,Chihuahua,10,Paper Goods,744686955
2006,8,Chihuahua,11,Textiles,960613185
2006,8,Chihuahua,12,Footwear and Headwear,1796722
2006,8,Chihuahua,13,Stone and Glass,180532746
2006,8,Chihuahua,14,Precious Metals,10113479
2006,8,Chihuahua,15,Metals,2771616994
2006,8,Chihuahua,16,Machines,22879794301
2006,8,Chihuahua,17,Transportation,2607724743
2006,8,Chihuahua,18,Instruments,4244621666
2006,8,Chihuahua,20,Miscellaneous,1882725272
2006,8,Chihuahua,21,Arts and Antiques,23288
2006,9,Ciudad de México,1,Animal Products,953188135
2006,9,Ciudad de México,2,Vegetable Products,740001579
2006,9,Ciudad de México,3,Animal and Vegetable Bi-Products,86168210
2006,9,Ciudad de México,4,Foodstuffs,2711194802
2006,9,Ciudad de México,5,Mineral Products,7328912304
2006,9,Ciudad de México,6,Chemical Products,9308882760
2006,9,Ciudad de México,7,Plastics and Rubbers,4003718913
2006,9,Ciudad de México,8,Animal Hides,181026378
2006,9,Ciudad de México,9,Wood Products,63668660
2006,9,Ciudad de México,10,Paper Goods,1805672128
2006,9,Ciudad de México,11,Textiles,2234191536
2006,9,Ciudad de México,12,Footwear and Headwear,215098637
2006,9,Ciudad de México,13,Stone and Glass,327175950
2006,9,Ciudad de México,14,Precious Metals,191911955
2006,9,Ciudad de México,15,Metals,3012051519
2006,9,Ciudad de México,16,Machines,12884470244
2006,9,Ciudad de México,17,Transportation,21826490335
2006,9,Ciudad de México,18,Instruments,1769827593
2006,9,Ciudad de México,19,Weapons,365279
2006,9,Ciudad de México,20,Miscellaneous,1442594724
2006,9,Ciudad de México,21,Arts and Antiques,9719945
2006,10,Durango,1,Animal Products,3061824
2006,10,Durango,2,Vegetable Products,23887854
2006,10,Durango,4,Foodstuffs,83660410
2006,10,Durango,5,Mineral Products,604818
2006,10,Durango,6,Chemical Products,2092214
2006,10,Durango,7,Plastics and Rubbers,41696080
2006,10,Durango,8,Animal Hides,1370860
2006,10,Durango,9,Wood Products,75778350
2006,10,Durango,10,Paper Goods,15238332
2006,10,Durango,11,Textiles,534420292
2006,10,Durango,13,Stone and Glass,58357353
2006,10,Durango,14,Precious Metals,27951103
2006,10,Durango,15,Metals,16789564
2006,10,Durango,16,Machines,58299910
2006,10,Durango,17,Transportation,5654405
2006,10,Durango,18,Instruments,2068063
2006,10,Durango,20,Miscellaneous,12157013
2006,11,Guanajuato,1,Animal Products,29250770
2006,11,Guanajuato,2,Vegetable Products,428756153
2006,11,Guanajuato,3,Animal and Vegetable Bi-Products,100541
2006,11,Guanajuato,4,Foodstuffs,91124617
2006,11,Guanajuato,5,Mineral Products,19971701
2006,11,Guanajuato,6,Chemical Products,148086206
2006,11,Guanajuato,7,Plastics and Rubbers,420827273
2006,11,Guanajuato,8,Animal Hides,376819508
2006,11,Guanajuato,9,Wood Products,881112
2006,11,Guanajuato,10,Paper Goods,172018864
2006,11,Guanajuato,11,Textiles,342860657
2006,11,Guanajuato,12,Footwear and Headwear,284368695
2006,11,Guanajuato,13,Stone and Glass,16868838
2006,11,Guanajuato,14,Precious Metals,764676
2006,11,Guanajuato,15,Metals,174027182
2006,11,Guanajuato,16,Machines,348721018
2006,11,Guanajuato,17,Transportation,477985523
2006,11,Guanajuato,18,Instruments,29607858
2006,11,Guanajuato,20,Miscellaneous,74934750
2006,12,Guerrero,7,Plastics and Rubbers,170328
2006,12,Guerrero,8,Animal Hides,11096
2006,12,Guerrero,10,Paper Goods,32865
2006,12,Guerrero,11,Textiles,519947
2006,12,Guerrero,14,Precious Metals,39069630
2006,12,Guerrero,15,Metals,106770
2006,12,Guerrero,16,Machines,318292
2006,12,Guerrero,17,Transportation,10504
2006,12,Guerrero,18,Instruments,109599
2006,12,Guerrero,20,Miscellaneous,93924
2006,13,Hidalgo,2,Vegetable Products,4920192
2006,13,Hidalgo,5,Mineral Products,42250
2006,13,Hidalgo,6,Chemical Products,2913000
2006,13,Hidalgo,7,Plastics and Rubbers,9588352
2006,13,Hidalgo,10,Paper Goods,1657941
2006,13,Hidalgo,11,Textiles,4135112
2006,13,Hidalgo,13,Stone and Glass,4779165
2006,13,Hidalgo,15,Metals,26555928
2006,13,Hidalgo,16,Machines,31203143
2006,13,Hidalgo,17,Transportation,35530802
2006,13,Hidalgo,18,Instruments,1199952
2006,13,Hidalgo,20,Miscellaneous,24854
2006,14,Jalisco,1,Animal Products,47950342
2006,14,Jalisco,2,Vegetable Products,713737163
2006,14,Jalisco,3,Animal and Vegetable Bi-Products,4047818
2006,14,Jalisco,4,Foodstuffs,938701142
2006,14,Jalisco,5,Mineral Products,82625077
2006,14,Jalisco,6,Chemical Products,602902493
2006,14,Jalisco,7,Plastics and Rubbers,978935506
2006,14,Jalisco,8,Animal Hides,76767135
2006,14,Jalisco,9,Wood Products,68890741
2006,14,Jalisco,10,Paper Goods,103901787
2006,14,Jalisco,11,Textiles,347076564
2006,14,Jalisco,12,Footwear and Headwear,86537067
2006,14,Jalisco,13,Stone and Glass,99785382
